"TRM", "EED - Y", "VA_1", "VA_2", "VA_3", "PM_1", "PM_2", "PM_3"
3930.26,-5.38,-13.72,-13.72,27.49,-9.55,-10.94,-1.3325
3912.97,-17.29,-5.38,-13.72,-13.72,-11.335,-12.13,-12.5275
3917.84,4.87,-17.29,-5.38,-13.72,-6.21,-5.933333333,-7.88
3917.84,0,4.87,-17.29,-5.38,2.435,-4.14,-4.45
3909.89,-7.95,0,4.87,-17.29,-3.975,-1.026666667,-5.0925
3916.61,6.72,-7.95,0,4.87,-0.615,-0.41,0.91
3929,12.39,6.72,-7.95,0,9.555,3.72,2.79
3915.28,-13.72,12.39,6.72,-7.95,-0.665,1.796666667,-0.64
3926.08,10.8,-13.72,12.39,6.72,-1.46,3.156666667,4.0475
3954.68,28.6,10.8,-13.72,12.39,19.7,8.56,9.5175
3962.23,7.55,28.6,10.8,-13.72,18.075,15.65,8.3075
3950.57,-11.66,7.55,28.6,10.8,-2.055,8.163333333,8.8225
3975.74,25.17,-11.66,7.55,28.6,6.755,7.02,12.415
3928.11,-47.63,25.17,-11.66,7.55,-11.23,-11.37333333,-6.6425
3889.05,-39.06,-47.63,25.17,-11.66,-43.345,-20.50666667,-18.295
3915.56,26.51,-39.06,-47.63,25.17,-6.275,-20.06,-8.7525
3925.6,10.04,26.51,-39.06,-47.63,18.275,-0.836666667,-12.535
3918.93,-6.67,10.04,26.51,-39.06,1.685,9.96,-2.295
3925.26,6.33,-6.67,10.04,26.51,-0.17,3.233333333,9.0525
3932.96,7.7,6.33,-6.67,10.04,7.015,2.453333333,4.35
3929.95,-3.01,7.7,6.33,-6.67,2.345,3.673333333,1.0875
3934.62,4.67,-3.01,7.7,6.33,0.83,3.12,3.9225
3904.49,-30.13,4.67,-3.01,7.7,-12.73,-9.49,-5.1925
3916.39,11.9,-30.13,4.67,-3.01,-9.115,-4.52,-4.1425
3939.89,23.5,11.9,-30.13,4.67,17.7,1.756666667,2.485
3969.5,29.61,23.5,11.9,-30.13,26.555,21.67,8.72
3940.85,-28.65,29.61,23.5,11.9,0.48,8.153333333,9.09
3901.38,-39.47,-28.65,29.61,23.5,-34.06,-12.83666667,-3.7525
3901.38,0,-39.47,-28.65,29.61,-19.735,-22.70666667,-9.6275
3929.79,28.41,0,-39.47,-28.65,14.205,-3.686666667,-9.9275
3946.39,16.6,28.41,0,-39.47,22.505,15.00333333,1.385
3934.13,-12.26,16.6,28.41,0,2.17,10.91666667,8.1875
3912.93,-21.2,-12.26,16.6,28.41,-16.73,-5.62,2.8875
3912.93,0,-21.2,-12.26,16.6,-10.6,-11.15333333,-4.215
3927.64,14.71,0,-21.2,-12.26,7.355,-2.163333333,-4.6875
3914.6,-13.04,14.71,0,-21.2,0.835,0.556666667,-4.8825
3895.53,-19.07,-13.04,14.71,0,-16.055,-5.8,-4.35
3822.05,-73.48,-19.07,-13.04,14.71,-46.275,-35.19666667,-22.72
3822.05,0,-73.48,-19.07,-13.04,-36.74,-30.85,-26.3975
3822.05,0,0,-73.48,-19.07,0,-24.49333333,-23.1375
3844.81,22.76,0,0,-73.48,11.38,7.586666667,-12.68
3871.45,26.64,22.76,0,0,24.7,16.46666667,12.35
3915.43,43.98,26.64,22.76,0,35.31,31.12666667,23.345
3915.43,0,43.98,26.64,22.76,21.99,23.54,23.345
3943.03,27.6,0,43.98,26.64,13.8,23.86,24.555
3948.54,5.51,27.6,0,43.98,16.555,11.03666667,19.2725
3925.77,-22.77,5.51,27.6,0,-8.63,3.446666667,2.585
3932.59,6.82,-22.77,5.51,27.6,-7.975,-3.48,4.29
3956.76,24.17,6.82,-22.77,5.51,15.495,2.74,3.4325
3955.88,-0.88,24.17,6.82,-22.77,11.645,10.03666667,1.835
3999.43,43.55,-0.88,24.17,6.82,21.335,22.28,18.415
3990.88,-8.55,43.55,-0.88,24.17,17.5,11.37333333,14.5725
3982.5,-8.38,-8.55,43.55,-0.88,-8.465,8.873333333,6.435
3998.51,16.01,-8.38,-8.55,43.55,3.815,-0.306666667,10.6575
3998.51,0,16.01,-8.38,-8.55,8.005,2.543333333,-0.23
3989.55,-8.96,0,16.01,-8.38,-4.48,2.35,-0.3325
4023.21,33.66,-8.96,0,16.01,12.35,8.233333333,10.1775
3999.91,-23.3,33.66,-8.96,0,5.18,0.466666667,0.35
3983.15,-16.76,-23.3,33.66,-8.96,-20.03,-2.133333333,-3.84
4045.22,62.07,-16.76,-23.3,33.66,22.655,7.336666667,13.9175
3980.67,-64.55,62.07,-16.76,-23.3,-1.24,-6.413333333,-10.635
3957.77,-22.9,-64.55,62.07,-16.76,-43.725,-8.46,-10.535
3989.89,32.12,-22.9,-64.55,62.07,4.61,-18.44333333,1.685
4044.51,54.62,32.12,-22.9,-64.55,43.37,21.28,-0.1775
4092.33,47.82,54.62,32.12,-22.9,51.22,44.85333333,27.915
4092.33,0,47.82,54.62,32.12,23.91,34.14666667,33.64
4060.15,-32.18,0,47.82,54.62,-16.09,5.213333333,17.565
4033.83,-26.32,-32.18,0,47.82,-29.25,-19.5,-2.67
4116.59,82.76,-26.32,-32.18,0,28.22,8.086666667,6.065
4077.44,-39.15,82.76,-26.32,-32.18,21.805,5.763333333,-3.7225
3976.84,-100.6,-39.15,82.76,-26.32,-69.875,-18.99666667,-20.8275
3963.57,-13.27,-100.6,-39.15,82.76,-56.935,-51.00666667,-17.565
4037.19,73.62,-13.27,-100.6,-39.15,30.175,-13.41666667,-19.85
4037.19,0,73.62,-13.27,-100.6,36.81,20.11666667,-10.0625
4056.94,19.75,0,73.62,-13.27,9.875,31.12333333,20.025
4065.79,8.85,19.75,0,73.62,14.3,9.533333333,25.555
4005.06,-60.73,8.85,19.75,0,-25.94,-10.71,-8.0325
3975.09,-29.97,-60.73,8.85,19.75,-45.35,-27.28333333,-15.525
3975.09,0,-29.97,-60.73,8.85,-14.985,-30.23333333,-20.4625
4047.11,72.02,0,-29.97,-60.73,36.01,14.01666667,-4.67
4117.71,70.6,72.02,0,-29.97,71.31,47.54,28.1625
4114.29,-3.42,70.6,72.02,0,33.59,46.4,34.8
4060.83,-53.46,-3.42,70.6,72.02,-28.44,4.573333333,21.435
4120.62,59.79,-53.46,-3.42,70.6,3.165,0.97,18.3775
4154.94,34.32,59.79,-53.46,-3.42,47.055,13.55,9.3075
4201.53,46.59,34.32,59.79,-53.46,40.455,46.9,21.81
4213.97,12.44,46.59,34.32,59.79,29.515,31.11666667,38.285
4221.39,7.42,12.44,46.59,34.32,9.93,22.15,25.1925
4238.85,17.46,7.42,12.44,46.59,12.44,12.44,20.9775
4249.71,10.86,17.46,7.42,12.44,14.16,11.91333333,12.045
4227.39,-22.32,10.86,17.46,7.42,-5.73,2,3.355
4222.09,-5.3,-22.32,10.86,17.46,-13.81,-5.586666667,0.175
4249,26.91,-5.3,-22.32,10.86,10.805,-0.236666667,2.5375
